dept,course,instructor,abbrev_instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,num_invited,num_responded
ARH,ARH312Y1,Anna Patton,Patton A,Winter,2016,3.4,3.5,4.3,3.5,3.5,3.2,4.1,3.2,23,13
ANT,ANT411H1,Erell Hubert,Hubert E,Winter,2016,4.1,4.3,4.2,4.1,4.1,3.9,4,3.8,18,15
ANT,ANT100Y1,Dylan Clark,Clark D,Summer,2016,4.1,4.2,4.2,3.6,3.7,3.8,4.2,3.5,57,17
ANT,ANT200Y1,Michael Gregg,Gregg M,Summer,2016,4.9,4.8,4.8,4.7,4.8,4.6,4.7,3.3,24,11
ANT,ANT207H1,Jessica Taylor,Taylor J,Summer,2016,4.1,4.3,4.6,4.1,4,4.2,4.4,3.3,52,16
ANT,ANT253H1,Marcel Danesi,Danesi M,Summer,2016,4.2,4.2,4.4,4.3,4.4,4.2,4.7,2.6,109,36
ANT,ANT343H1,Kevin Nixon,Nixon K,Summer,2016,3.9,4.1,4.1,4,3.9,3.8,4.2,3.7,25,9
ANT,ANT348H1,Krista Maxwell,Maxwell K,Summer,2016,4.3,4.3,4.4,4.4,4.4,4.2,4.5,3.5,14,11
ANT,ANT200Y1,Michael Chazan,Chazan M,Fall,2016,4.1,4.1,4.1,4.1,4.1,3.8,4.1,3.2,132,42
ANT,ANT203Y1,Julia Gamble,Gamble J,Fall,2016,4,4.1,4.2,3.8,3.8,3.9,4.1,3,150,50
ANT,ANT207H1,Tania Li,Li T,Fall,2016,3.8,3.9,4,3.8,3.8,3.6,4,3.3,168,50
ANT,ANT208H1,Julia Gamble,Gamble J,Fall,2016,3.6,3.8,3.5,3.3,3.3,3.3,3.8,3,330,114
ANT,ANT316H1,Edward Swenson,Swenson E,Fall,2016,4.1,4.5,4.4,4.7,4.7,3.9,4.7,3.3,23,15
ANT,ANT317H1,Anna Patton,Patton A,Fall,2016,4.2,4.4,5,4.7,4.7,4,4.3,3.2,17,6
ANT,ANT322H1,Marcel Danesi,Danesi M,Fall,2016,3.7,3.7,4,3.4,3.3,3.9,4.4,2.3,100,24
ANT,ANT329H1,Hy Luong,Luong H,Fall,2016,4.4,4.4,4.3,4.2,4.1,4,4.6,2.7,42,14
ANT,ANT334H1,Amy Beresheim,Beresheim A,Fall,2016,4.1,4.1,3.7,3.5,3.6,3.1,4,4.6,25,18
ANT,ANT335Y1,David Begun,Begun D,Fall,2016,4.3,4.1,3.6,3.4,3,3.4,3.9,3.5,18,8
