course,instructor,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9
ANT324H1,Shiho Satsuka,4.5,4.8,4.3,4.3,4.2,4.4,4.3,3,4.3
ANT349H1,Laura Visan,4.4,4.8,4.7,4.3,4.4,4.4,4.3,3,4.5
ARH306Y1,Paul Duffy,4.6,4.8,4.6,3.8,4,4.2,4.6,3.2,4.2
ARH306Y1,Sarah Stewart,4.6,4.8,4.4,3.8,4,4.2,4.2,3.2,4.2
ANT207H1,Dylan Clark,4.8,4.8,4.9,4.5,4.7,4.7,4.9,3.7,4.3
ANT100Y1,Dylan Clark,3.5,3.5,3.1,3,2.8,2.6,3.4,3.9,3
ANT253H1,Marcel Danesi,4.2,4.1,4.5,3.9,4,4.1,4.5,2.6,4.2
ANT204H1,Dylan Clark,4.3,4.3,4.5,3.6,3.8,4.1,4.9,3.3,3.9
ANT100Y1,Shawn Lehman,4.1,4.3,4.2,4,3.9,3.6,4.2,3.6,3.9
ANT324H1,Shiho Satsuka,4.2,4.5,4.3,4.3,4.3,4.3,4.4,3.1,4.1
ANT204H1,Dylan Clark,4.7,4.6,4.8,4.3,4.3,4.6,4.8,3.6,4.7
ANT346H1,Dylan Clark,3.8,4,4.3,3.4,3.8,3.7,4.3,3.4,3.6
ARH306Y1,Paul Duffy,4.7,4.8,5,4.5,4.5,4.5,4.7,3.3,4.7
ARH306Y1,Sarah Stewart,4.7,4.8,4.8,4.5,4.5,4.5,4.8,3.3,4.7
ANT437H1,T. Viola,4.9,5,4.9,4.9,4.8,4.8,4.8,3.1,4.6
ANT343H1,Kevin Nixon,4.3,4,3.5,3.5,3.7,3.3,4.7,4.3,4.2
ANT396Y0,Anne Urbancic,5,5,4.9,5,5,4.9,5,2.7,5
JAH391Y0,Ivan Kalmar,3.6,3.5,3.4,3.5,3.7,3.1,4,3.1,2.5
ANT207H1,Jessica Taylor,4.2,4.2,4.3,3.8,3.8,3.8,4.2,3.2,3.7
ANT204H1,Diane Riskedahl,3.3,3.5,3.8,3.6,3.3,3.3,3.9,3.3,3.2
ANT366H1,Daniella Jofre,2,1.8,1.9,1.9,2.2,1.8,2.4,3.3,1.9
ANT348H1,Krista Maxwell,4.3,4.3,4.3,4,4,3.9,4,4.1,3.9
ANT346H1,Aaron Kappeler,4.5,4.6,4.9,4.2,4.4,4.6,4.8,3.1,4.7
ARH306Y1,Edward Banning,4.4,4.7,4.8,4.6,4.4,4.8,4.8,3.6,4.8
ARH306Y1,Sarah Stewart,4.4,4.7,4.8,4.6,4.4,4.8,4.8,3.6,4.8
ANT207H1,James Stinson,4.2,4.3,4.1,3.6,3.8,3.8,3.9,3.1,4.2
ANT100Y1,Shawn Lehman,3.2,3.2,3.3,3.1,2.8,2.8,3.7,3.2,3.2
ANT100Y1,James Stinson,3.2,3.5,3.2,2.8,2.6,2.8,3.4,2.8,2.9
ANT200Y1,Emma Humphrey,4,4.1,4.4,3.8,4,4.3,4.2,3,4.1
ANT253H1,Marcel Danesi,3.2,3.3,3.6,2.7,2.8,3,4.1,2.4,3.6
ANT330Y0,David Begun,4.5,4.5,4.7,4.7,4.7,4.2,4.5,2.8,4.5
ANT343H1,Dylan Clark,4.6,4.5,4.2,3.8,3.9,4,4.6,3.8,4.1
ANT390H1,Eugenia Kisin,4.6,4.7,4.7,4.6,4.5,4.6,4.7,3,4.8
ANT435H1,Laura Sikstrom,4.2,4,4,3.7,3.8,3.8,4,4.2,3.9
ANT346H1,Aaron Kappeler,5,4.9,5,4.7,4.8,5,5,3.3,5
ANT204H1,Jessica Taylor,3.3,3.4,3.8,3.3,3.7,3.3,4.2,2.8,3.2
ARH306Y1,Edward Banning,4.2,4.6,3.4,3.7,3.8,3.4,3.4,3.9,3.7
ARH306Y1,Sarah Stewart,4.2,4.6,4.2,3.7,3.8,3.4,4.3,3.9,3.7
ANT207H1,Jude Fokwang,3.8,3.9,4.1,3.7,3.9,3.8,4.1,3.2,3.8
ANT364H1,Dylan Clark,3.7,3.6,3.5,3.1,3.2,2.9,3.9,3.8,2.5
ANT345H1,Laura Sikstrom,4.9,4.7,4.7,4.4,4.1,4.1,4.7,3.4,4.6
ANT100Y1,Peter Rudiak-Gould,4.1,3.9,4.4,3.6,3.7,3.9,4.5,3.2,4
ANT100Y1,Shawn Lehman,3.9,4.1,3.7,3.3,3.4,3.6,4.4,3,3.9
ANT200Y1,Michael Gregg,4.8,4.8,4.9,4.9,4.7,4.6,4.7,3.1,4.7
ANT253H1,Marcel Danesi,4.2,4.2,4.6,4.1,4.4,4.1,4.6,2.8,4.5
ANT333Y1,Michael Reid,4.8,5,5,4.8,4.8,5,5,3.1,4.9
ANT100Y1,T Friesen,3.5,3.7,2.8,3.5,3.7,3,3.2,2.8,3.2
ANT100Y1,Ivan Kalmar,3.5,3.7,3.5,3.5,3.7,3,4,2.8,3.2
ANT100Y1,Shawn Lehman,3.5,3.7,3.3,3.5,3.7,3,4.3,2.8,3.2
ANT100Y1,James Stinson,3.5,3.7,3.2,3.5,3.7,3,3.5,2.8,3.2
ANT100Y1,T Friesen,3.3,3.7,3.1,3.3,3.3,3.1,3.1,2.7,3.4
ANT100Y1,Ivan Kalmar,3.3,3.7,4.2,3.3,3.3,3.1,4.3,2.7,3.4
ANT100Y1,Shawn Lehman,3.3,3.7,4.3,3.3,3.3,3.1,4.4,2.7,3.4
ANT100Y1,James Stinson,3.3,3.7,3.1,3.3,3.3,3.1,3.1,2.7,3.4
ANT200Y1,Michael Chazan,3.5,4,3.3,3.8,3.8,3.4,3.7,2.9,3.4
ANT203Y1,Amber MacKenzie,4.4,4.6,4.6,4.2,4.2,4.2,4.5,2.9,4.5
ANT207H1,Janice Boddy,3.2,3.5,3.1,3.3,3.4,3,3.2,3.1,3.1
ANT208H1,Christopher Little,3.1,3.3,2.4,2.9,3,2.5,2.3,3.1,2.7
ANT322H1,Marcel Danesi,3.5,3.6,4,3,2.9,3.3,4.5,2.8,3.9
ANT347Y1,Sharon Kelly,3.8,3.9,4.3,4,4,3.7,4.5,3.3,3.7
ANT356H1,Mahiye Dagtas,3.3,3.6,3,3.4,3.6,3,2.9,3.5,2.8
ANT369H1,Victor Barac,3.6,3.7,4,3.8,3.8,3.4,3.6,2.9,3.8
ANT370H1,Holly Wardlow,4.2,4.5,4.3,3.9,3.9,3.9,4.3,3.3,4
ANT372H1,Cara Krmpotich,4.4,4.6,4.8,4.4,4.4,4.3,4.7,2.8,4.5
ANT380H1,Shiho Satsuka,3.2,3.4,2.8,3.7,3.9,2.7,3.2,3.9,2.8
ANT409H1,Paul Duffy,4.2,4.1,4.2,4.3,4.1,4,4.1,3.1,4.2
ANT410H1,David Bilton,4.3,4.5,4.7,4.2,4.3,4.3,4.5,3.7,4
ANT411H1,Edward Swenson,4.6,4.4,4.2,4,4.2,4,4.6,4.3,4.2
ANT420H1,John Creese,3.7,3.8,3.9,3.6,3.3,3.3,3.7,3.4,3.5
ANT425H1,Hy Luong,4.5,4.5,4.8,4.2,4,4.3,4.5,3.3,4.4
ANT434H1,Susan Pfeiffer,4.1,4,3.9,3.9,3.5,3.5,4.2,3.5,3.5
ANT435H1,Daniel Sellen,4.5,4,4.7,4.5,4.5,4.1,4.7,3.1,4.5
ANT436H1,Shawn Lehman,4.2,4.4,4.4,4,4.3,4.1,4.7,2.8,4.4
ANT460H1,Holly Wardlow,4.5,4.5,4.9,4.5,4.8,4.4,4.6,3,4.5
ANT472H1,Shiho Satsuka,3.8,4,3.3,4,3.9,3.3,3.8,3.2,3.8
ANT484H1,Janice Boddy,3.9,4.2,4.4,4.1,3.9,3.8,4.6,3.7,4.1
ARH312Y1,Dana Millson,3.2,3.4,3.2,3,3,2.4,3,4,3
ARH360H1,Sarah Stewart,4.1,4.1,4.6,4.1,4.1,4,4.1,3,3.7
ANT204H1,Prakruti Dave,3.9,3.7,4,3.3,3.3,3.3,4.1,3.6,3.6
ANT253H1,Marcel Danesi,3.7,3.8,4.3,3.6,3.7,3.6,4.5,2.6,4.1
ANT320H1,Edward Swenson,4.5,4.5,4.6,4.5,4.4,4.3,4.8,3.8,4.1
ANT324H1,Shiho Satsuka,3.9,4,3.6,4,3.9,3.4,3.7,3.2,3.6
ANT329H1,Hy Luong,4.4,4.5,4.3,4.1,4.4,4.1,4.4,2.8,4.4
ANT334H1,Susan Pfeiffer,4.4,4.5,4.5,4.1,4,4.1,4.6,3.8,4.4
ANT335Y1,David Begun,4.3,4.1,4,3.7,3.6,3.5,3.8,3.4,3.8
ANT336H1,Susan Pfeiffer,4.3,4.3,4.8,3.8,4.1,4.1,4.7,3.3,4.2
ANT341H1,Yiching Wu,3.2,3,2.7,3.2,3.2,2.3,3.4,3.5,2.3
ANT347Y1,Joshua Barker,3.4,3.6,3.3,3.4,3.3,3.1,3.3,3.3,3.4
ANT348H1,Krista Maxwell,4.1,4.1,3.8,3.9,3.9,3.7,3.9,3.4,3.7
ANT374H1,Tania Li,4,3.9,3.8,3.7,3.6,3.6,4.1,3.8,3.8
ANT407H1,Matthew Mosher,3.8,3.7,4.3,3.8,3.7,3.5,4.2,3.8,3.7
ANT426H1,Ivan Kalmar,4.6,4.8,4.7,4.3,4.5,4.4,4.8,3.2,4.6
ANT430H1,Shawn Lehman,4.6,4.5,4.9,4.1,4.2,4.3,4.9,2.7,4.4
ANT452H1,Michael Levin,4.3,4.3,3.7,3.5,3.5,3.7,4,3.3,4
ANT462H1,Prakruti Dave,4.9,4.5,4.4,4.6,4.6,4.2,4.6,3.3,4.5
ANT473H1,Tania Li,4.4,4.4,4.6,5,5,4.6,5,3.6,4.6
ANT475H1,Valentina Napolitano,4.5,4.4,4.1,4,4.3,4.1,4.3,4.1,4.3
ANT477H1,Jesook Song,3.9,3.7,3.6,3.6,3.4,3.3,3.4,3.4,3.4
ANT480H1,Janice Boddy,4.6,4.7,4.4,4.7,4.5,4.4,4.6,3.9,4.5
ANT486H1,Krista Maxwell,4.5,4.5,4.2,4.2,4.4,4.1,3.8,3.5,4.2
ARH305H1,Gary Coupland,3.7,4.3,3.9,4,4.2,3.5,3.8,3.4,3.5
ARH309H1,Justin Jennings,4.3,4.2,4.7,3.6,3.7,4.1,4.7,2.9,4.4
ARH482H1,Peter Bikoulis,4.3,4.3,4.2,4.7,4.8,4,4.5,3,4
JAL355H1,Diane Riskedahl,3.7,3.8,3.8,3.8,4.1,3.3,3.8,3.2,3.5
ANT100Y1,T Friesen,3.7,3.9,3.2,3.4,3.4,3.5,3.2,2.8,3.6
ANT100Y1,Ivan Kalmar,3.7,3.9,4.3,3.4,3.4,3.5,4.4,2.8,3.6
ANT100Y1,Shawn Lehman,3.7,3.9,4.3,3.4,3.4,3.5,4.5,2.8,3.6
ANT200Y1,Anna Patton,3.4,3.9,3.1,3.7,3.7,3.3,3.3,2.9,3.4
ANT203Y1,Michael Reid,4.2,4.4,4.7,4.2,4.1,4.3,4.8,2.9,4.3
ANT253H1,Marcel Danesi,4.1,4.2,4.5,3.9,4,4.1,4.5,2.5,4.3
ANT317H1,Anna Patton,4.2,4.5,4.6,4,4.1,4.5,4.3,3.1,4.2
ANT333Y1,Michael Reid,3.9,4.1,4.7,3.7,3.4,3.8,4.7,3.1,3.9
ANT341H1,Wen Sung,4.1,4.5,4,3.9,3.9,3.6,4,3.5,3.6
ANT343H1,Christopher Little,4.1,4.1,3.7,4,3.9,3.5,3.4,3.3,3.8
ANT370H1,Holly Wardlow,4.2,4.5,4.2,3.6,3.6,3.9,4.3,3,3.9
ANT372H1,Cara Krmpotich,4.6,4.5,4.6,4.5,4.5,4.6,4.7,3,4.5
ANT378H1,Stephen Campbell,4.1,4.2,4.6,4,3.7,3.7,4.5,3.1,4.3
ANT380H1,Shiho Satsuka,4,4.8,4.2,4.4,4.2,4.2,4.8,3.6,4.6
ANT419H1,Michael Chazan,4.7,4.7,4.5,4.7,4.7,4.5,4.8,3.3,4.8
ANT420H1,Gary Coupland,4.4,4.4,4.5,4.6,4.7,4.2,4.6,3,4.5
ANT425H1,Hy Luong,4.2,4.6,4.8,4,4.2,4,4.4,3.2,3.8
ANT426H1,Ivan Kalmar,4.5,4.5,4.3,4.5,4.3,4.5,4.7,3.2,4.8
ANT434H1,Susan Pfeiffer,4.6,4.8,4.8,4.5,4.4,4.6,4.8,3.2,4.6
ANT435H1,Laura Sikstrom,3.6,3.6,3.9,3.1,3.3,3.2,4.1,4.1,3.2
ANT438H1,Travis Steffens,4.6,4.5,4.6,4.2,4.5,4,4.6,3.1,4.5
ANT445H1,Shiho Satsuka,4.3,4,4.5,4.5,4.3,4,4,3,3.8
ANT458H1,Krista Maxwell,5,5,5,5,4.9,5,4.9,3.5,4.9
ANT460H1,Holly Wardlow,4.6,4.6,4.7,4.9,4.8,4.7,4.8,3.4,4.7
ARH309H1,Justin Jennings,3.7,4.1,4.1,3.5,3.6,4,4.4,3.1,3.8
ARH312Y1,Anna Patton,4.5,4.8,5,4.7,4.7,4.8,4.8,3.3,4.8
ANT371H1,Julia Gamble,3.3,3.3,3.3,3.5,3.4,3.2,3.8,3.1,3.6
ANT378H1,Jesook Song,3.5,3.3,3.3,3.3,3.2,2.9,3.6,3,3.1
ANT100Y1,T Friesen,3.4,3.8,3.1,3.3,3.4,3.6,3.3,2.5,3.9
ANT100Y1,Ivan Kalmar,3.4,3.8,3.9,3.3,3.4,3.6,3.8,2.5,3.9
ANT100Y1,Shawn Lehman,3.4,3.8,4.5,3.3,3.4,3.6,4.4,2.5,3.9
ANT100Y1,T Friesen,3.7,4,3.4,3.5,3.6,3.5,3.2,2.8,3.8
ANT100Y1,Ivan Kalmar,3.7,4,4.2,3.5,3.6,3.5,4.4,2.8,3.8
