course,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,num_invited,num_responded,instructor
ARH306Y1,Summer,2017,4.7,4.8,4.8,4.5,4.5,4.5,4.8,3.3,4.7,11,6,"Stewart, S."
ANT437H1,Summer,2017,4.9,5,4.9,4.9,4.8,4.8,4.8,3.1,4.6,9,9,"Viola, T."
ANT343H1,Summer,2017,4.3,4,3.5,3.5,3.7,3.3,4.7,4.3,4.2,23,6,"Nixon, K."
ANT396Y0,Summer,2017,5,5,4.9,5,5,4.9,5,2.7,5,28,7,"Urbancic, A."
JAH391Y0,Summer,2017,3.6,3.5,3.4,3.5,3.7,3.1,4,3.1,2.5,25,11,"Kalmar, I."
ANT207H1,Summer,2017,4.2,4.2,4.3,3.8,3.8,3.8,4.2,3.2,3.7,53,21,"Taylor, J."
ANT204H1,Summer,2014,3.3,3.5,3.8,3.6,3.3,3.3,3.9,3.3,3.2,43,14,"Riskedahl, D."
ANT366H1,Summer,2014,2,1.8,1.9,1.9,2.2,1.8,2.4,3.3,1.9,29,15,"Jofre, D."
ANT348H1,Summer,2014,4.3,4.3,4.3,4,4,3.9,4,4.1,3.9,21,14,"Maxwell, K."
ANT346H1,Summer,2014,4.5,4.6,4.9,4.2,4.4,4.6,4.8,3.1,4.7,67,25,"Kappeler, A."
ARH306Y1,Summer,2014,4.4,4.7,4.8,4.6,4.4,4.8,4.8,3.6,4.8,22,9,"Banning, E."
ARH306Y1,Summer,2014,4.4,4.7,4.8,4.6,4.4,4.8,4.8,3.6,4.8,22,9,"Stewart, S."
ANT207H1,Summer,2014,4.2,4.3,4.1,3.6,3.8,3.8,3.9,3.1,4.2,60,25,"Stinson, J."
ANT100Y1,Summer,2014,3.2,3.2,3.3,3.1,2.8,2.8,3.7,3.2,3.2,53,12,"Lehman, S."
ANT100Y1,Summer,2014,3.2,3.5,3.2,2.8,2.6,2.8,3.4,2.8,2.9,53,16,"Stinson, J."
ANT200Y1,Summer,2014,4,4.1,4.4,3.8,4,4.3,4.2,3,4.1,38,12,"Humphrey, E."
ANT253H1,Summer,2014,3.2,3.3,3.6,2.7,2.8,3,4.1,2.4,3.6,108,27,"Danesi, M."
ANT330Y0,Summer,2014,4.5,4.5,4.7,4.7,4.7,4.2,4.5,2.8,4.5,8,6,"Begun, D."
ANT343H1,Summer,2014,4.6,4.5,4.2,3.8,3.9,4,4.6,3.8,4.1,31,16,"Clark, D."
ANT390H1,Winter,2016,4.6,4.7,4.7,4.6,4.5,4.6,4.7,3,4.8,32,20,"Kisin, E."
ANT435H1,Summer,2015,4.2,4,4,3.7,3.8,3.8,4,4.2,3.9,18,9,"Sikstrom, L."
ANT346H1,Summer,2015,5,4.9,5,4.7,4.8,5,5,3.3,5,46,22,"Kappeler, A."
ANT204H1,Summer,2015,3.3,3.4,3.8,3.3,3.7,3.3,4.2,2.8,3.2,53,9,"Taylor, J."
ARH306Y1,Summer,2015,4.2,4.6,3.4,3.7,3.8,3.4,3.4,3.9,3.7,16,9,"Banning, E."
ARH306Y1,Summer,2015,4.2,4.6,4.2,3.7,3.8,3.4,4.3,3.9,3.7,16,9,"Stewart, S."
ANT207H1,Summer,2015,3.8,3.9,4.1,3.7,3.9,3.8,4.1,3.2,3.8,50,24,"Fokwang, J."
ANT364H1,Summer,2015,3.7,3.6,3.5,3.1,3.2,2.9,3.9,3.8,2.5,42,14,"Clark, D."
ANT345H1,Summer,2015,4.9,4.7,4.7,4.4,4.1,4.1,4.7,3.4,4.6,33,7,"Sikstrom, L."
ANT100Y1,Summer,2015,4.1,3.9,4.4,3.6,3.7,3.9,4.5,3.2,4,55,27,"Rudiak-Gould, P."
ANT100Y1,Summer,2015,3.9,4.1,3.7,3.3,3.4,3.6,4.4,3,3.9,64,16,"Lehman, S."
ANT200Y1,Summer,2015,4.8,4.8,4.9,4.9,4.7,4.6,4.7,3.1,4.7,25,10,"Gregg, M."
ANT253H1,Summer,2015,4.2,4.2,4.6,4.1,4.4,4.1,4.6,2.8,4.5,105,24,"Danesi, M."
ANT333Y1,Summer,2015,4.8,5,5,4.8,4.8,5,5,3.1,4.9,22,9,"Reid, M."
ANT100Y1,Winter,2014,3.5,3.7,2.8,3.5,3.7,3,3.2,2.8,3.2,17,9,"Friesen, T."
ANT100Y1,Winter,2014,3.5,3.7,3.5,3.5,3.7,3,4,2.8,3.2,17,9,"Kalmar, I."
ANT100Y1,Winter,2014,3.5,3.7,3.3,3.5,3.7,3,4.3,2.8,3.2,17,9,"Lehman, S."
ANT100Y1,Winter,2014,3.5,3.7,3.2,3.5,3.7,3,3.5,2.8,3.2,17,9,"Stinson, J."
ANT100Y1,Winter,2014,3.3,3.7,3.1,3.3,3.3,3.1,3.1,2.7,3.4,810,311,"Friesen, T."
ANT100Y1,Winter,2014,3.3,3.7,4.2,3.3,3.3,3.1,4.3,2.7,3.4,810,311,"Kalmar, I."
ANT100Y1,Winter,2014,3.3,3.7,4.3,3.3,3.3,3.1,4.4,2.7,3.4,810,311,"Lehman, S."
ANT100Y1,Winter,2014,3.3,3.7,3.1,3.3,3.3,3.1,3.1,2.7,3.4,810,311,"Stinson, J."
ANT200Y1,Winter,2014,3.5,4,3.3,3.8,3.8,3.4,3.7,2.9,3.4,258,99,"Chazan, M."
ANT203Y1,Winter,2014,4.4,4.6,4.6,4.2,4.2,4.2,4.5,2.9,4.5,201,77,"MacKenzie, A."
ANT207H1,Winter,2014,3.2,3.5,3.1,3.3,3.4,3,3.2,3.1,3.1,269,103,"Boddy, J."
ANT208H1,Winter,2014,3.1,3.3,2.4,2.9,3,2.5,2.3,3.1,2.7,306,110,"Little, C."
ANT322H1,Winter,2014,3.5,3.6,4,3,2.9,3.3,4.5,2.8,3.9,287,98,"Danesi, M."
ANT347Y1,Winter,2014,3.8,3.9,4.3,4,4,3.7,4.5,3.3,3.7,63,33,"Kelly, S."
ANT356H1,Winter,2014,3.3,3.6,3,3.4,3.6,3,2.9,3.5,2.8,60,23,"Dagtas, M."
ANT369H1,Winter,2014,3.6,3.7,4,3.8,3.8,3.4,3.6,2.9,3.8,68,25,"Barac, V."
ANT370H1,Winter,2014,4.2,4.5,4.3,3.9,3.9,3.9,4.3,3.3,4,72,31,"Wardlow, H."
ANT372H1,Winter,2014,4.4,4.6,4.8,4.4,4.4,4.3,4.7,2.8,4.5,66,35,"Krmpotich, C."
ANT380H1,Winter,2014,3.2,3.4,2.8,3.7,3.9,2.7,3.2,3.9,2.8,24,9,"Satsuka, S."
ANT409H1,Winter,2014,4.2,4.1,4.2,4.3,4.1,4,4.1,3.1,4.2,23,10,"Duffy, P."
ANT410H1,Winter,2014,4.3,4.5,4.7,4.2,4.3,4.3,4.5,3.7,4,18,6,"Bilton, D."
ANT411H1,Winter,2014,4.6,4.4,4.2,4,4.2,4,4.6,4.3,4.2,22,12,"Swenson, E."
ANT420H1,Winter,2014,3.7,3.8,3.9,3.6,3.3,3.3,3.7,3.4,3.5,27,18,"Creese, J."
ANT425H1,Winter,2014,4.5,4.5,4.8,4.2,4,4.3,4.5,3.3,4.4,19,13,"Luong, H."
ANT434H1,Winter,2014,4.1,4,3.9,3.9,3.5,3.5,4.2,3.5,3.5,29,13,"Pfeiffer, S."
ANT435H1,Winter,2014,4.5,4,4.7,4.5,4.5,4.1,4.7,3.1,4.5,24,11,"Sellen, D."
ANT436H1,Winter,2014,4.2,4.4,4.4,4,4.3,4.1,4.7,2.8,4.4,26,11,"Lehman, S."
ANT460H1,Winter,2014,4.5,4.5,4.9,4.5,4.8,4.4,4.6,3,4.5,26,13,"Wardlow, H."
ANT472H1,Winter,2014,3.8,4,3.3,4,3.9,3.3,3.8,3.2,3.8,22,12,"Satsuka, S."
ANT484H1,Winter,2014,3.9,4.2,4.4,4.1,3.9,3.8,4.6,3.7,4.1,23,9,"Boddy, J."
ARH312Y1,Winter,2014,3.2,3.4,3.2,3,3,2.4,3,4,3,12,5,"Millson, D."
ARH360H1,Winter,2014,4.1,4.1,4.6,4.1,4.1,4,4.1,3,3.7,31,8,"Stewart, S."
ANT204H1,Fall,2013,3.9,3.7,4,3.3,3.3,3.3,4.1,3.6,3.6,228,83,"Dave, P."
ANT253H1,Fall,2013,3.7,3.8,4.3,3.6,3.7,3.6,4.5,2.6,4.1,462,134,"Danesi, M."
ANT320H1,Fall,2013,4.5,4.5,4.6,4.5,4.4,4.3,4.8,3.8,4.1,50,22,"Swenson, E."
ANT324H1,Fall,2013,3.9,4,3.6,4,3.9,3.4,3.7,3.2,3.6,74,27,"Satsuka, S."
ANT329H1,Fall,2013,4.4,4.5,4.3,4.1,4.4,4.1,4.4,2.8,4.4,57,19,"Luong, H."
ANT334H1,Fall,2013,4.4,4.5,4.5,4.1,4,4.1,4.6,3.8,4.4,54,13,"Pfeiffer, S."
