course,instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,num_invited,num_responded
ANT420H1,John Creese,Winter,2014,3.7,3.8,3.9,3.6,3.3,3.3,3.7,3.4,3.5,27,18
ANT425H1,Hy Luong,Winter,2014,4.5,4.5,4.8,4.2,4,4.3,4.5,3.3,4.4,19,13
ANT434H1,Susan Pfeiffer,Winter,2014,4.1,4,3.9,3.9,3.5,3.5,4.2,3.5,3.5,29,13
ANT435H1,Daniel Sellen,Winter,2014,4.5,4,4.7,4.5,4.5,4.1,4.7,3.1,4.5,24,11
ANT436H1,Shawn Lehman,Winter,2014,4.2,4.4,4.4,4,4.3,4.1,4.7,2.8,4.4,26,11
ANT460H1,Holly Wardlow,Winter,2014,4.5,4.5,4.9,4.5,4.8,4.4,4.6,3,4.5,26,13
ANT472H1,Shiho Satsuka,Winter,2014,3.8,4,3.3,4,3.9,3.3,3.8,3.2,3.8,22,12
ANT484H1,Janice Boddy,Winter,2014,3.9,4.2,4.4,4.1,3.9,3.8,4.6,3.7,4.1,23,9
ARH312Y1,Dana Millson,Winter,2014,3.2,3.4,3.2,3,3,2.4,3,4,3,12,5
ARH360H1,Sarah Stewart,Winter,2014,4.1,4.1,4.6,4.1,4.1,4,4.1,3,3.7,31,8
ANT204H1,Prakruti Dave,Fall,2013,3.9,3.7,4,3.3,3.3,3.3,4.1,3.6,3.6,228,83
ANT253H1,Marcel Danesi,Fall,2013,3.7,3.8,4.3,3.6,3.7,3.6,4.5,2.6,4.1,462,134
ANT320H1,Edward Swenson,Fall,2013,4.5,4.5,4.6,4.5,4.4,4.3,4.8,3.8,4.1,50,22
ANT324H1,Shiho Satsuka,Fall,2013,3.9,4,3.6,4,3.9,3.4,3.7,3.2,3.6,74,27
ANT329H1,Hy Luong,Fall,2013,4.4,4.5,4.3,4.1,4.4,4.1,4.4,2.8,4.4,57,19
ANT334H1,Susan Pfeiffer,Fall,2013,4.4,4.5,4.5,4.1,4,4.1,4.6,3.8,4.4,54,13
ANT335Y1,David Begun,Fall,2013,4.3,4.1,4,3.7,3.6,3.5,3.8,3.4,3.8,57,20
ANT336H1,Susan Pfeiffer,Fall,2013,4.3,4.3,4.8,3.8,4.1,4.1,4.7,3.3,4.2,54,18
