dept,course,instructor,abbrev_instructor
ANT,ANT100Y1,T Friesen,"Friesen, T."
ANT,ANT100Y1,Ivan Kalmar,"Kalmar, I."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT200Y1,Anna Patton,"Patton, A."
ANT,ANT203Y1,Michael Reid,"Reid, M."
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT317H1,Anna Patton,"Patton, A."
ANT,ANT333Y1,Michael Reid,"Reid, M."
ANT,ANT341H1,Wen Sung,"Sung, W."
ANT,ANT343H1,Christopher Little,"Little, C."
ANT,ANT370H1,Holly Wardlow,"Wardlow, H."
ANT,ANT372H1,Cara Krmpotich,"Krmpotich, C."
ANT,ANT378H1,Stephen Campbell,"Campbell, S."
ANT,ANT380H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT419H1,Michael Chazan,"Chazan, M."
ANT,ANT420H1,Gary Coupland,"Coupland, G."
ANT,ANT425H1,Hy Luong,"Luong, H."
ANT,ANT426H1,Ivan Kalmar,"Kalmar, I."
ANT,ANT434H1,Susan Pfeiffer,"Pfeiffer, S."
ANT,ANT435H1,Laura Sikstrom,"Sikstrom, L."
ANT,ANT438H1,Travis Steffens,"Steffens, T."
ANT,ANT445H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT458H1,Krista Maxwell,"Maxwell, K."
ANT,ANT460H1,Holly Wardlow,"Wardlow, H."
ARH,ARH309H1,Justin Jennings,"Jennings, J."
ARH,ARH312Y1,Anna Patton,"Patton, A."
ANT,ANT371H1,Julia Gamble,"Gamble, J."
ANT,ANT378H1,Jesook Song,"Song, J."
ANT,ANT100Y1,T Friesen,"Friesen, T."
ANT,ANT100Y1,Ivan Kalmar,"Kalmar, I."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT100Y1,T Friesen,"Friesen, T."
ANT,ANT100Y1,Ivan Kalmar,"Kalmar, I."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT200Y1,Anna Patton,"Patton, A."
ANT,ANT370H1,Arie Molema,"Molema, A."
ANT,ANT372H1,Cara Krmpotich,"Krmpotich, C."
ANT,ANT327H1,Bonnie McElhinny,"McElhinny, B."
ARH,ARH494H1,Giles Spence Morrow,"Spence Morrow, G."
ANT,ANT336H1,T. Viola,"Viola, T."
ANT,ANT415Y1,T Friesen,"Friesen, T."
ANT,ANT425H1,Hy Luong,"Luong, H."
ANT,ANT406H1,Sarah Stewart,"Stewart, S."
ANT,ANT441H1,Melinda Vandenbeld Giles,"Vandenbeld Giles, M."
ANT,ANT208H1,Julia Gamble,"Gamble, J."
ANT,ANT203Y1,Julia Gamble,"Gamble, J."
